	Pt	T	Vf	Vm	Ach	Over	
	#	s	V vs. Ref.	V	V	bits	
	157	159.317	-1.95E-01	-1.95E-01	0.00E+00	...........	
	158	160.325	-1.95E-01	-1.95E-01	0.00E+00	...........	
	159	161.333	-1.95E-01	-1.95E-01	0.00E+00	...........	
	160	162.342	-1.95E-01	-1.95E-01	0.00E+00	...........	
	161	163.35	-1.95E-01	-1.94E-01	0.00E+00	...........	
	162	164.358	-1.95E-01	-1.94E-01	0.00E+00	...........	
	163	165.367	-1.95E-01	-1.94E-01	0.00E+00	...........	
	164	166.375	-1.94E-01	-1.94E-01	0.00E+00	...........	
	165	167.383	-1.94E-01	-1.94E-01	0.00E+00	...........	
	166	168.392	-1.94E-01	-1.94E-01	0.00E+00	...........	
	167	169.4	-1.94E-01	-1.94E-01	0.00E+00	...........	
	168	170.408	-1.94E-01	-1.94E-01	0.00E+00	...........	
	169	171.417	-1.94E-01	-1.94E-01	0.00E+00	...........	
	170	172.425	-1.94E-01	-1.94E-01	0.00E+00	...........	
	171	173.433	-1.94E-01	-1.94E-01	0.00E+00	...........	
	172	174.442	-1.94E-01	-1.94E-01	0.00E+00	...........	
	173	175.45	-1.94E-01	-1.94E-01	0.00E+00	...........	
	174	176.458	-1.94E-01	-1.94E-01	0.00E+00	...........	
	175	177.467	-1.94E-01	-1.94E-01	0.00E+00	...........	
	176	178.475	-1.94E-01	-1.94E-01	0.00E+00	...........	
	177	179.483	-1.94E-01	-1.94E-01	0.00E+00	...........	
	178	180.492	-1.94E-01	-1.94E-01	0.00E+00	...........	
	179	181.5	-1.94E-01	-1.94E-01	0.00E+00	...........	
	180	182.508	-1.94E-01	-1.94E-01	0.00E+00	...........	
	181	183.517	-1.94E-01	-1.94E-01	0.00E+00	...........	
	182	184.525	-1.94E-01	-1.93E-01	0.00E+00	...........	
	183	185.533	-1.94E-01	-1.93E-01	0.00E+00	...........	
	184	186.542	-1.94E-01	-1.93E-01	0.00E+00	...........	
	185	187.55	-1.93E-01	-1.93E-01	0.00E+00	...........	
	186	188.558	-1.93E-01	-1.93E-01	0.00E+00	...........	
	187	189.567	-1.93E-01	-1.93E-01	0.00E+00	...........	
	188	190.575	-1.93E-01	-1.93E-01	0.00E+00	...........	
	189	191.583	-1.93E-01	-1.93E-01	0.00E+00	...........	
	190	192.592	-1.93E-01	-1.93E-01	0.00E+00	...........	
	191	193.6	-1.93E-01	-1.93E-01	0.00E+00	...........	
	192	194.608	-1.93E-01	-1.93E-01	0.00E+00	...........	
	193	195.617	-1.93E-01	-1.93E-01	0.00E+00	...........	
	194	196.625	-1.93E-01	-1.93E-01	0.00E+00	...........	
	195	197.633	-1.93E-01	-1.93E-01	0.00E+00	...........	
	196	198.642	-1.93E-01	-1.93E-01	0.00E+00	...........	
	197	199.65	-1.93E-01	-1.93E-01	0.00E+00	...........	
	198	200.658	-1.93E-01	-1.93E-01	0.00E+00	...........	
	199	201.667	-1.93E-01	-1.93E-01	0.00E+00	...........	
	200	202.675	-1.93E-01	-1.93E-01	0.00E+00	...........	
	201	203.683	-1.93E-01	-1.93E-01	0.00E+00	...........	
	202	204.692	-1.93E-01	-1.93E-01	0.00E+00	...........	
	203	205.7	-1.93E-01	-1.92E-01	0.00E+00	...........	
	204	206.708	-1.93E-01	-1.92E-01	0.00E+00	...........	
	205	207.717	-1.93E-01	-1.92E-01	0.00E+00	...........	
	206	208.725	-1.92E-01	-1.92E-01	0.00E+00	...........	
	207	209.733	-1.92E-01	-1.92E-01	0.00E+00	...........	
	208	210.742	-1.92E-01	-1.92E-01	0.00E+00	...........	
	209	211.75	-1.92E-01	-1.92E-01	0.00E+00	...........	
	210	212.758	-1.92E-01	-1.92E-01	0.00E+00	...........	
